Percentage of damaged pixels,Impact Area,Severity,Repair Cost
0.1435546875,1,1,300
0.20342000325520834,1,1,200
0.15512593587239584,1,1,170
0.08231891957364341,3,1,165
0.07886953328981723,4,1,300
0.09292295903110048,4,2,600
0.04686737060546875,1,1,245
0.06860230099502487,3,1,330
0.14463929521276594,4,1,500
0.0982426974543081,1,1,410
0.004543887867647059,4,2,600
0.22775160845588235,4,1,400
0.005518595377604167,4,1,270
0.032842000325520836,3,1,365
0.030364990234375,3,2,727
0.046574910481770836,4,1,250
0.07506527415143603,1,1,273
0.023941364694148936,4,1,564
0.015940348307291668,1,1,102
0.07632652126099707,3,1,181
0.010386149088541666,4,1,450
0.281367905183727,1,1,302
0.0465087890625,3,1,224
0.0652126736111111,4,1,130
0.031113382448186528,1,1,150
0.040617860639686684,4,1,102
0.037851969401041664,3,2,480
0.017554306402439025,1,1,192
0.11201985677083333,1,1,314
0.19673978365384615,3,1,118
0.16027211334745764,3,1,250
0.027956607404692083,3,2,588
0.07074991861979167,1,1,162
0.025533040364583332,3,1,101
0.030818904842342343,4,2,320
0.03894073410224439,1,1,750
0.0033262310606060608,1,1,618
0.046875,1,2,1490
0.08629573649497488,3,2,1200
0.0224251003440367,0,0,12401
0.3346099150345622,3,2,1300
0.15277608235677084,1,1,450
0.07580057779947917,1,1,320
0.08255513509114583,4,1,220
0.0,2,1,450
0.14685776654411764,4,2,480
